商户订单号,订单类型,清算日期,下单时间,支付成功时间,交易金额,商户手续费,入账金额,支付产品,卡类型
12200002819,交易,2015-09-29,2015-09-29 09:18:52,2015-09-29 09:19:19,0.01,0.0,0.01,DIRECT,DEBIT
12200002830,交易,2015-09-29,2015-09-29 11:18:51,2015-09-29 11:19:15,0.01,0.0,0.01,DIRECT,CREDIT
ZGTPAY150929_150334204,交易,2015-09-29,2015-09-29 15:03:58,2015-09-29 15:14:35,0.01,0.0,0.01,SALES,
A560a52fac8a1e87185a8e76a|29165943,交易,2015-09-29,2015-09-29 16:59:55,2015-09-29 17:01:11,0.01,0.0,0.01,ONEKEY,DEBIT
ZGTPAY150929_170743696,交易,2015-09-29,2015-09-29 17:07:48,2015-09-29 17:09:11,0.01,0.0,0.01,SALES,
45644622,交易,2015-09-29,2015-09-29 17:43:26,2015-09-29 17:45:54,0.01,0.0,0.01,DIRECT,CREDIT
12200002839,交易,2015-09-29,2015-09-29 18:02:03,2015-09-29 18:05:52,0.01,0.0,0.01,DIRECT,DEBIT
45644623,交易,2015-09-29,2015-09-29 18:07:30,2015-09-29 18:08:15,0.01,0.0,0.01,DIRECT,CREDIT
45644625,交易,2015-09-29,2015-09-29 18:13:33,2015-09-29 18:14:12,0.01,0.0,0.01,DIRECT,CREDIT
12200002840,交易,2015-09-29,2015-09-29 18:14:20,2015-09-29 18:15:26,0.01,0.0,0.01,DIRECT,DEBIT
45644626,交易,2015-09-29,2015-09-29 18:18:54,2015-09-29 18:19:27,0.01,0.0,0.01,DIRECT,CREDIT
45644627,交易,2015-09-29,2015-09-29 18:24:28,2015-09-29 18:25:26,0.01,0.0,0.01,DIRECT,CREDIT
45644628,交易,2015-09-29,2015-09-29 18:26:50,2015-09-29 18:27:56,0.01,0.0,0.01,DIRECT,CREDIT
45644629,交易,2015-09-29,2015-09-29 18:28:36,2015-09-29 18:29:21,0.01,0.0,0.01,DIRECT,CREDIT
12200002844,交易,2015-09-29,2015-09-29 18:38:25,2015-09-29 18:39:21,0.01,0.0,0.01,DIRECT,DEBIT
12200002845,交易,2015-09-29,2015-09-29 18:43:26,2015-09-29 18:44:31,0.01,0.0,0.01,DIRECT,DEBIT
总条数:16条
